Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",AEGISCHEM,EQ,INE208C01025
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Castrol India Ltd.,"Oil, Gas & Consumable Fuels",CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01021
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01024
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01015
Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
Mahanagar Gas Ltd.,"Oil, Gas & Consumable Fuels",MGL,EQ,INE002S01010
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Network18 Media & Investments Ltd.,"Media, Entertainment & Publication",NETWORK18,EQ,INE870H01013
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
